Ind2,Ind1,Dice,WB,species.ind1,group.ind1,setting.ind1,species.ind2,group.ind2,setting.ind2,class
COR,CAJ,0.75,Within,Bor,Cologne,captive,Bor,Cologne,captive,Moms
KON,CAJ,0.75,Between,Bor,Cologne,captive,Bor,Tuanan,wild,Moms
KON,DES,0.588235294,Within,Bor,Tuanan,wild,Bor,Tuanan,wild,Moms
KON,COR,0.8,Between,Bor,Cologne,captive,Bor,Tuanan,wild,Moms
KON,JUN,0.736842105,Within,Bor,Tuanan,wild,Bor,Tuanan,wild,Moms
KON,KER,0.8,Within,Bor,Tuanan,wild,Bor,Tuanan,wild,Moms
JUN,DES,0.625,Within,Bor,Tuanan,wild,Bor,Tuanan,wild,Moms
JUN,CAJ,0.608695652,Between,Bor,Cologne,captive,Bor,Tuanan,wild,Moms
JUN,COR,0.631578947,Between,Bor,Cologne,captive,Bor,Tuanan,wild,Moms
MAN,JUN,0.608695652,Between,Bor,Tuanan,wild,Bor,Munster,captive,Moms
MAN,COR,0.666666667,Within,Bor,Cologne,captive,Bor,Munster,captive,Moms
MAN,CAJ,0.714285714,Within,Bor,Cologne,captive,Bor,Munster,captive,Moms
MAN,DES,0.380952381,Between,Bor,Tuanan,wild,Bor,Munster,captive,Moms
MAN,KER,0.583333333,Between,Bor,Tuanan,wild,Bor,Munster,captive,Moms
MAN,KON,0.666666667,Between,Bor,Tuanan,wild,Bor,Munster,captive,Moms
DES,COR,0.588235294,Between,Bor,Cologne,captive,Bor,Tuanan,wild,Moms
DES,CAJ,0.476190476,Between,Bor,Cologne,captive,Bor,Tuanan,wild,Moms
WAT,KON,0.608695652,Between,Bor,Tuanan,wild,Bor,Apenheul,captive,Moms
WAT,KER,0.434782609,Between,Bor,Tuanan,wild,Bor,Apenheul,captive,Moms
WAT,DES,0.4,Between,Bor,Tuanan,wild,Bor,Apenheul,captive,Moms
WAT,MAN,0.814814815,Within,Bor,Munster,captive,Bor,Apenheul,captive,Moms
WAT,JUN,0.545454545,Between,Bor,Tuanan,wild,Bor,Apenheul,captive,Moms
WAT,COR,0.782608696,Within,Bor,Cologne,captive,Bor,Apenheul,captive,Moms
WAT,MIN,0.4,Between,Bor,Tuanan,wild,Bor,Apenheul,captive,Moms
WAT,MIL,0.5,Between,Bor,Tuanan,wild,Bor,Apenheul,captive,Moms
WAT,CAJ,0.814814815,Within,Bor,Cologne,captive,Bor,Apenheul,captive,Moms
MIN,JUN,0.625,Within,Bor,Tuanan,wild,Bor,Tuanan,wild,Moms
MIN,CAJ,0.476190476,Between,Bor,Cologne,captive,Bor,Tuanan,wild,Moms
MIN,KER,0.823529412,Within,Bor,Tuanan,wild,Bor,Tuanan,wild,Moms
MIN,KON,0.705882353,Within,Bor,Tuanan,wild,Bor,Tuanan,wild,Moms
MIN,DES,0.714285714,Within,Bor,Tuanan,wild,Bor,Tuanan,wild,Moms
MIN,MIL,0.666666667,Within,Bor,Tuanan,wild,Bor,Tuanan,wild,Moms
MIN,COR,0.588235294,Between,Bor,Cologne,captive,Bor,Tuanan,wild,Moms
MIN,MAN,0.476190476,Between,Bor,Munster,captive,Bor,Tuanan,wild,Moms
KER,COR,0.6,Between,Bor,Cologne,captive,Bor,Tuanan,wild,Moms
KER,CAJ,0.666666667,Between,Bor,Cologne,captive,Bor,Tuanan,wild,Moms
KER,JUN,0.736842105,Within,Bor,Tuanan,wild,Bor,Tuanan,wild,Moms
KER,DES,0.705882353,Within,Bor,Tuanan,wild,Bor,Tuanan,wild,Moms
MIL,KER,0.857142857,Within,Bor,Tuanan,wild,Bor,Tuanan,wild,Moms
MIL,KON,0.761904762,Within,Bor,Tuanan,wild,Bor,Tuanan,wild,Moms
MIL,DES,0.666666667,Within,Bor,Tuanan,wild,Bor,Tuanan,wild,Moms
MIL,JUN,0.8,Within,Bor,Tuanan,wild,Bor,Tuanan,wild,Moms
MIL,CAJ,0.72,Between,Bor,Cologne,captive,Bor,Tuanan,wild,Moms
MIL,MAN,0.56,Between,Bor,Munster,captive,Bor,Tuanan,wild,Moms
MIL,COR,0.666666667,Between,Bor,Cologne,captive,Bor,Tuanan,wild,Moms
ELL,CIS,0.705882353,Within,Sum,Suaq,wild,Sum,Suaq,wild,Moms
ELL,CAH,0.4,Between,Sum,Zurich,captive,Sum,Suaq,wild,Moms
FRI,CIS,0.8,Within,Sum,Suaq,wild,Sum,Suaq,wild,Moms
FRI,ELL,0.777777778,Within,Sum,Suaq,wild,Sum,Suaq,wild,Moms
FRI,CAH,0.434782609,Between,Sum,Zurich,captive,Sum,Suaq,wild,Moms
TIM,LIL,0.4,Between,Sum,Suaq,wild,Sum,Zurich,captive,Moms
TIM,CIS,0.428571429,Between,Sum,Suaq,wild,Sum,Zurich,captive,Moms
TIM,FRI,0.4,Between,Sum,Suaq,wild,Sum,Zurich,captive,Moms
TIM,SIT,0.416666667,Within,Sum,Munich,captive,Sum,Zurich,captive,Moms
TIM,MAT,0.555555556,Within,Sum,Munich,captive,Sum,Zurich,captive,Moms
TIM,CAH,0.454545455,Within,Sum,Zurich,captive,Sum,Zurich,captive,Moms
TIM,ELL,0.470588235,Between,Sum,Suaq,wild,Sum,Zurich,captive,Moms
LIL,ELL,0.777777778,Within,Sum,Suaq,wild,Sum,Suaq,wild,Moms
LIL,CAH,0.347826087,Between,Sum,Zurich,captive,Sum,Suaq,wild,Moms
LIL,FRI,0.875,Within,Sum,Suaq,wild,Sum,Suaq,wild,Moms
LIL,CIS,0.933333333,Within,Sum,Suaq,wild,Sum,Suaq,wild,Moms
XIR,CAH,0.56,Within,Sum,Zurich,captive,Sum,Zurich,captive,Moms
XIR,CIS,0.588235294,Between,Sum,Suaq,wild,Sum,Zurich,captive,Moms
XIR,MAT,0.476190476,Within,Sum,Munich,captive,Sum,Zurich,captive,Moms
