no,setting,species,signal,articulator,dominance_con,dominance_cat,context,fs,gr,jt,mo,NA,pl,st,sx,no_cases,max_cases,no_subjects
1,captive,Bor,beg hand-hand,manual ,1,T,fs,15,0,0,0,0,0,0,0,15,15,5
2,captive,Bor,beg hand-mouth,manual ,1,T,fs,11,0,0,0,0,0,0,0,11,11,3
3,captive,Bor,beg mouth-hand,bodily,1,T,fs,12,0,0,0,0,0,0,0,12,12,4
4,captive,Bor,beg mouth-mouth,bodily,1,T,fs,16,0,0,0,0,0,0,0,16,16,4
5,captive,Bor,bite,bodily,0.935483871,T,pl,2,3,1,0,0,87,0,0,93,87,12
6,captive,Bor,bite attempt,bodily,0.921568627,T,pl,1,3,0,0,0,47,0,0,51,47,10
7,captive,Bor,embrace,manual ,0.666666667,L,pl,0,1,1,0,0,4,0,0,6,4,6
8,captive,Bor,flail limb,manual ,1,T,pl,0,0,0,0,0,12,0,0,12,12,5
9,captive,Bor,grab/hold onto,manual ,0.852886406,T,pl,9,23,46,0,0,458,1,0,537,458,13
10,captive,Bor,place limb,manual ,0.565656566,L,pl,6,31,6,0,0,56,0,0,99,56,12
11,captive,Bor,head-butt,bodily,1,T,pl,0,0,0,0,0,1,0,0,1,1,1
12,captive,Bor,head-stand,bodily,1,T,pl,0,0,0,0,0,11,0,0,11,11,6
13,captive,Bor,hit/kick,manual ,0.977272727,T,pl,0,0,0,0,0,43,1,0,44,43,6
14,captive,Bor,kiss,bodily,0.545454545,L,pl,0,6,0,0,0,5,0,0,11,6,7
15,captive,Bor,lay down,bodily,0.850574713,T,pl,1,11,1,0,0,74,0,0,87,74,11
16,captive,Bor,look at,bodily,0.897435897,T,pl,5,1,1,0,0,70,0,1,78,70,10
17,captive,Bor,look back at,bodily,0.5,L,pl,0,0,4,0,0,4,0,0,8,4,6
18,captive,Bor,peer,bodily,0.576271186,L,pl,22,3,0,0,0,34,0,0,59,34,6
19,captive,Bor,play face,facial,1,T,pl,0,0,0,0,0,68,0,0,68,68,10
20,captive,Bor,poke,manual ,1,T,pl,0,0,0,0,0,55,0,0,55,55,8
21,captive,Bor,pout face,facial,0.75,T,pl,1,0,0,0,0,3,0,0,4,3,3
22,captive,Bor,present bp,bodily,0.72,T,gr,0,18,0,0,0,0,0,7,25,18,7
23,captive,Bor,present obj,manual ,0.705882353,T,pl,10,0,0,0,0,24,0,0,34,24,9
24,captive,Bor,pull,manual ,0.639097744,L,pl,1,10,35,0,0,85,2,0,133,85,12
25,captive,Bor,push,manual ,0.309090909,A,pl,9,27,19,7,0,34,14,0,110,34,13
26,captive,Bor,raise limb,manual ,0.824817518,T,pl,1,19,4,0,0,113,0,0,137,113,13
27,captive,Bor,reach,manual ,0.902255639,T,pl,9,1,3,0,0,120,0,0,133,120,11
28,captive,Bor,rise up,bodily,0.930232558,T,pl,0,3,0,0,0,40,0,0,43,40,9
29,captive,Bor,rub body ,bodily,1,T,pl,0,0,0,0,0,2,0,0,2,2,2
30,captive,Bor,slap ground,manual ,1,T,pl,0,0,0,0,0,3,0,0,3,3,3
31,captive,Bor,somersault,bodily,1,T,pl,0,0,0,0,0,34,0,0,34,34,5
32,captive,Bor,spin,bodily,1,T,pl,0,0,0,0,0,7,0,0,7,7,4
33,captive,Bor,swing/dangle,bodily,1,T,pl,0,0,0,0,0,207,0,0,207,207,10
34,captive,Bor,throw self,bodily,0.981308411,T,pl,0,0,2,0,0,105,0,0,107,105,9
35,captive,Bor,throw obj,manual ,1,T,pl,0,0,0,0,0,36,0,0,36,36,9
36,captive,Bor,tickle,manual ,0.75,T,pl,0,1,0,0,0,3,0,0,4,3,3
37,captive,Bor,touch,manual ,0.809210526,T,pl,12,25,20,0,0,246,1,0,304,246,13
38,wild,Bor,beg hand-hand,manual ,1,T,fs,152,0,0,0,0,0,0,0,152,152,13
39,wild,Bor,beg hand-mouth,manual ,1,T,fs,81,0,0,0,0,0,0,0,81,81,10
40,wild,Bor,beg mouth-hand,bodily,1,T,fs,69,0,0,0,0,0,0,0,69,69,10
41,wild,Bor,beg mouth-mouth,bodily,1,T,fs,38,0,0,0,0,0,0,0,38,38,9
42,wild,Bor,bite,bodily,0.96969697,T,pl,0,1,0,0,0,32,0,0,33,32,17
43,wild,Bor,bite attempt,bodily,1,T,pl,0,0,0,0,0,26,0,0,26,26,16
44,wild,Bor,embrace,manual ,0.625,L,pl,1,0,2,0,0,5,0,0,8,5,6
