no_subject,ID,no_rep,no_rep_asy,no_context,setting,species,group,age,sex,no_sample
1,BAJ,26,26,4,captive,Bornean,Apenheul,Dp,M,384
2,BUD,16,26,4,captive,Bornean,Cologne,Im,M,161
3,CAJ,14,14,5,captive,Bornean,Cologne,Ad,F,180
4,CIR,25,25,5,captive,Bornean,Cologne,Dp,F,713
5,CIT,28,28,6,captive,Bornean,Cologne,Im,F,969
6,COR,10,10,4,captive,Bornean,Cologne,Ad,F,54
7,KAW,21,21,5,captive,Bornean,Apenheul,Im,M,161
8,MAN,14,14,5,captive,Bornean,Munster,Ad,F,89
9,MIY,31,31,5,captive,Bornean,Munster,Dp,M,778
10,NIA,27,27,6,captive,Bornean,Munster,Dp,F,439
11,SAR,17,17,6,captive,Bornean,Munster,Ad,F,98
12,PON,4,NA,4,captive,Bornean,Munster,Ad,M,12
13,WAT,13,13,5,captive,Bornean,Apenheul,Ad,F,109
14,BRU,2,NA,2,captive,Sumatran,Munich,Ad,M,11
15,CAH,15,15,6,captive,Sumatran,Zurich,Ad,F,82
16,DJA,6,NA,3,captive,Sumatran,Zurich,Ad,M,22
17,HAD,21,21,4,captive,Sumatran,Zurich,Im,M,103
18,ISO,16,16,6,captive,Sumatran,Munich,Im,F,132
19,JAH,13,13,5,captive,Sumatran,Munich,Ad,F,58
20,JOL,13,13,5,captive,Sumatran,Munich,Im,F,70
21,MAL,26,26,5,captive,Sumatran,Zurich,Im,M,342
22,MAT,11,11,5,captive,Sumatran,Munich,Ad,F,70
23,MIM,22,22,4,captive,Sumatran,Zurich,Im,F,208
24,PAN,19,19,4,captive,Sumatran,Zurich,Dp,F,199
25,QUE,25,25,5,captive,Sumatran,Munich,Dp,M,287
26,QUI,18,18,4,captive,Sumatran,Munich,Dp,M,101
27,RIA,14,14,3,captive,Sumatran,Zurich,Dp,F,99
28,RON,20,20,3,captive,Sumatran,Munich,Dp,F,197
29,SIT,17,17,5,captive,Sumatran,Munich,Ad,F,129
30,TIM,7,7,6,captive,Sumatran,Zurich,Ad,F,50
31,XIR,10,10,5,captive,Sumatran,Zurich,Ad,F,52
32,JAN,17,17,4,wild,Bornean,Tuanan,Dp,F,320
33,JUN,9,9,6,wild,Bornean,Tuanan,Ad,F,96
34,ANA,3,NA,3,wild,Bornean,Tuanan,Dp,F,16
35,CAK,13,13,4,wild,Bornean,Tuanan,Dp,M,124
36,CIA,6,NA,3,wild,Bornean,Tuanan,Ad,F,45
37,DAN,4,NA,2,wild,Bornean,Tuanan,Im,M,17
38,DAR,17,17,4,wild,Bornean,Tuanan,Dp,M,330
39,DES,7,7,4,wild,Bornean,Tuanan,Ad,F,144
40,KEC,8,8,4,wild,Bornean,Tuanan,Dp,M,54
41,KER,10,10,4,wild,Bornean,Tuanan,Ad,F,223
42,KET,18,18,4,wild,Bornean,Tuanan,Dp,M,467
43,KON,10,10,3,wild,Bornean,Tuanan,Ad,F,69
44,MAW,6,NA,3,wild,Bornean,Tuanan,Im,F,46
45,MER,14,14,4,wild,Bornean,Tuanan,Dp,M,418
46,MIL,11,11,6,wild,Bornean,Tuanan,Ad,F,119
47,MIN,7,7,3,wild,Bornean,Tuanan,Ad,F,100
48,MOB,17,17,3,wild,Bornean,Tuanan,Dp,F,390
49,TIN,6,6,5,wild,Bornean,Tuanan,Ad,F,59
50,TUK,12,12,4,wild,Bornean,Tuanan,Im,M,125
51,UNF,5,5,3,wild,Bornean,Tuanan,Ad,M,69
52,FRI,8,NA,5,wild,Sumatran,Suaq,Ad,F,44
53,AMO,1,NA,1,wild,Sumatran,Suaq,Dp,M,5
54,BEO,1,NA,2,wild,Sumatran,Suaq,Ad,M,6
55,CIN,17,17,6,wild,Sumatran,Suaq,Im,F,225
56,CIS,7,NA,3,wild,Sumatran,Suaq,Ad,F,41
57,EDE,22,22,5,wild,Sumatran,Suaq,Dp,F,391
58,ELL,10,10,4,wild,Sumatran,Suaq,Ad,F,113
59,FRA,22,22,6,wild,Sumatran,Suaq,Im,M,371
60,KRO,7,NA,2,wild,Sumatran,Suaq,Im,M,45
61,LIL,8,NA,4,wild,Sumatran,Suaq,Ad,F,43
62,LIS,6,NA,4,wild,Sumatran,Suaq,Ad,F,34
63,LOI,17,17,5,wild,Sumatran,Suaq,Im,M,164
64,LUT,19,19,5,wild,Sumatran,Suaq,Dp,M,313
65,NIB,1,NA,1,wild,Sumatran,Suaq,Ad,M,6
66,PEP,8,NA,3,wild,Sumatran,Suaq,Dp,M,38
67,PIN,1,NA,2,wild,Sumatran,Suaq,Ad,F,13
68,TIA,3,NA,3,wild,Sumatran,Suaq,Ad,F,22
69,TOR,9,9,3,wild,Sumatran,Suaq,Dp,M,92
70,UNF,1,NA,1,wild,Sumatran,Suaq,Ad,M,6
71,YUL,2,NA,1,wild,Sumatran,Suaq,Im,F,8
