setting,species,signal,specific,articulator,dominance_con,dominance_cat,context,fs,gr,jt,mo,NA,pl,st,sx,no_cases,D_fs,D_gr,D_jt,D_mo,D_NA,D_pl,D_st,D_sx,no_subjects
captive,Bor,beg hand-hand,0,manual ,NA,NA,fs,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
captive,Bor,beg hand-mouth,0,manual ,NA,NA,fs,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3
captive,Bor,beg mouth-mouth,0,bodily,NA,NA,fs,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3
captive,Bor,bite,0,bodily,1,T,pl,0,0,0,0,0,17,0,0,17,0,0,0,0,0,1,0,0,8
captive,Bor,bite attempt,0,bodily,1,T,pl,0,0,0,0,0,5,0,0,5,0,0,0,0,0,1,0,0,7
captive,Bor,embrace,0,manual ,1,T,pl,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
captive,Bor,grab/hold onto,0,manual ,0.659574468,L,pl,1,4,11,0,0,31,0,0,47,0.021276596,0.085106383,0.234042553,0,0,0.659574468,0,0,11
captive,Bor,hit/kick,0,manual ,1,T,pl,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2
captive,Bor,kiss,0,bodily,1,L,pl,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,5
captive,Bor,lay down,1,bodily,1,T,pl,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,3
captive,Bor,look at,0,bodily,0.555555556,L,pl,2,0,2,0,0,5,0,0,9,0.222222222,0,0.222222222,0,0,0.555555556,0,0,9
captive,Bor,peer,0,bodily,0.75,L,fs,3,0,0,0,0,1,0,0,4,0.75,0,0,0,0,0.25,0,0,4
captive,Bor,place limb,0,manual ,0.5,L,gr,1,6,5,0,0,12,0,0,24,0.041666667,0.25,0.208333333,0,0,0.5,0,0,9
captive,Bor,play face,0,facial,1,T,pl,0,0,0,0,0,5,0,0,5,0,0,0,0,0,1,0,0,5
captive,Bor,present bp,0,bodily,0.8,T,gr,0,4,1,0,0,0,0,0,5,0,0.8,0.2,0,0,0,0,0,5
captive,Bor,present obj,0,manual ,0.75,L,fs,1,0,0,0,0,3,0,0,4,0.25,0,0,0,0,0.75,0,0,6
captive,Bor,pull,0,manual ,0.588235294,L,pl,0,4,10,0,0,20,0,0,34,0,0.117647059,0.294117647,0,0,0.588235294,0,0,11
captive,Bor,push,0,manual ,0.375,A,pl,0,3,2,0,0,3,0,0,8,0,0.375,0.25,0,0,0.375,0,0,9
captive,Bor,raise limb,0,manual ,0.736842105,T,pl,1,3,1,0,0,14,0,0,19,0.052631579,0.157894737,0.052631579,0,0,0.736842105,0,0,10
captive,Bor,reach,0,manual ,1,T,pl,0,0,0,0,0,10,0,0,10,0,0,0,0,0,1,0,0,11
captive,Bor,somersault,1,bodily,0.666666667,L,jt,0,0,2,0,0,1,0,0,3,0,0,0.666666667,0,0,0.333333333,0,0,4
