no_subject,ID,no_rep,no_rep_asy,no_context,setting,species,group,age,sex,no_sample,no_int
1,BAJ,7,NA,4,captive,Bornean,Apenheul,Dp,M,66,0.136
2,BUD,4,NA,1,captive,Bornean,Cologne,Im,M,25,0.16
3,CAJ,7,NA,4,captive,Bornean,Cologne,Ad,F,43,0.163
4,CIR,15,15,4,captive,Bornean,Cologne,Dp,F,91,0.187
5,CIT,12,12,4,captive,Bornean,Cologne,Dp,F,61,0.197
6,COR,8,NA,4,captive,Bornean,Cologne,Ad,F,31,0.29
7,KAW,10,10,4,captive,Bornean,Apenheul,Im,M,62,0.194
8,MAN,6,NA,4,captive,Bornean,Munster,Ad,F,37,0.216
9,MIY,13,13,4,captive,Bornean,Munster,Dp,M,86,0.174
10,NIA,2,NA,1,captive,Bornean,Munster,Im,F,14,0.214
11,SAR,5,NA,1,captive,Bornean,Munster,Ad,F,20,0.25
12,WAT,8,8,4,captive,Bornean,Apenheul,Ad,F,67,0.149
13,BRU,2,NA,2,captive,Sumatran,Munich,Ad,M,11,0.182
14,CAH,15,15,6,captive,Sumatran,Zurich,Ad,F,82,0.183
15,DJA,6,NA,3,captive,Sumatran,Zurich,Ad,M,22,0.273
16,HAD,21,21,4,captive,Sumatran,Zurich,Im,M,103,0.204
17,ISO,16,16,6,captive,Sumatran,Munich,Im,F,132,0.121
18,JAH,13,13,5,captive,Sumatran,Munich,Ad,F,58,0.224
19,JOL,13,13,5,captive,Sumatran,Munich,Im,F,70,0.186
20,MAL,26,26,5,captive,Sumatran,Zurich,Im,M,342,0.079
21,MAT,11,11,5,captive,Sumatran,Munich,Ad,F,70,0.157
22,MIM,22,22,4,captive,Sumatran,Zurich,Dp,F,208,0.106
23,PAN,19,19,4,captive,Sumatran,Zurich,Dp,F,199,0.106
24,QUE,25,25,5,captive,Sumatran,Munich,Dp,M,287,0.087
25,QUI,18,18,4,captive,Sumatran,Munich,Dp,M,101,0.178
26,RIA,14,14,3,captive,Sumatran,Zurich,Dp,F,99,0.141
27,RON,20,20,3,captive,Sumatran,Munich,Dp,F,197,0.107
28,SIT,17,17,5,captive,Sumatran,Munich,Ad,F,129,0.132
29,TIM,7,7,6,captive,Sumatran,Zurich,Ad,F,50,0.14
30,XIR,10,10,5,captive,Sumatran,Zurich,Ad,F,52,0.192
31,JAN,17,17,4,wild,Bornean,Tuanan,Dp,F,320,0.059
32,JUN,9,9,6,wild,Bornean,Tuanan,Ad,F,96,0.104
33,ANA,3,NA,3,wild,Bornean,Tuanan,Dp,F,16,0.188
34,CAK,13,13,4,wild,Bornean,Tuanan,Dp,M,124,0.105
35,CIA,6,NA,3,wild,Bornean,Tuanan,Ad,F,45,0.156
36,DAN,4,NA,2,wild,Bornean,Tuanan,Im,M,17,0.235
37,DAR,17,17,4,wild,Bornean,Tuanan,Dp,M,330,0.052
38,DES,7,7,4,wild,Bornean,Tuanan,Ad,F,144,0.056
39,KEC,8,8,4,wild,Bornean,Tuanan,Dp,M,54,0.148
40,KER,10,10,4,wild,Bornean,Tuanan,Ad,F,223,0.049
41,KET,18,18,4,wild,Bornean,Tuanan,Dp,M,467,0.041
42,KON,10,10,3,wild,Bornean,Tuanan,Ad,F,69,0.145
43,MAW,6,NA,3,wild,Bornean,Tuanan,Im,F,46,0.13
44,MER,14,14,4,wild,Bornean,Tuanan,Dp,M,418,0.033
45,MIL,11,11,6,wild,Bornean,Tuanan,Ad,F,119,0.092
46,MIN,7,7,3,wild,Bornean,Tuanan,Ad,F,100,0.09
47,MOB,17,17,3,wild,Bornean,Tuanan,Dp,F,390,0.046
48,TIN,6,6,5,wild,Bornean,Tuanan,Ad,F,59,0.119
49,TUK,12,12,4,wild,Bornean,Tuanan,Dp,M,125,0.104
50,UNF,5,5,3,wild,Bornean,Tuanan,Ad,M,69,0.072
51,FRI,8,NA,5,wild,Sumatran,Suaq,Ad,F,44,0.205
52,AMO,1,NA,1,wild,Sumatran,Suaq,Dp,M,5,0.2
53,BEO,1,NA,2,wild,Sumatran,Suaq,Ad,M,6,0.167
54,CIN,17,17,6,wild,Sumatran,Suaq,Dp,F,225,0.084
55,CIS,7,NA,3,wild,Sumatran,Suaq,Ad,F,41,0.171
56,EDE,22,22,5,wild,Sumatran,Suaq,Dp,F,391,0.061
57,ELL,10,10,4,wild,Sumatran,Suaq,Ad,F,113,0.088
58,FRA,22,22,6,wild,Sumatran,Suaq,Dp,M,371,0.065
59,KRO,7,NA,2,wild,Sumatran,Suaq,Im,M,45,0.156
60,LIL,8,NA,4,wild,Sumatran,Suaq,Ad,F,43,0.186
61,LIS,6,NA,4,wild,Sumatran,Suaq,Ad,F,34,0.176
62,LOI,17,17,5,wild,Sumatran,Suaq,Dp,M,164,0.122
63,LUT,19,19,5,wild,Sumatran,Suaq,Dp,M,313,0.064
64,NIB,1,NA,1,wild,Sumatran,Suaq,Ad,M,6,0.167
65,PEP,8,NA,3,wild,Sumatran,Suaq,Dp,M,38,0.237
66,PIN,1,NA,2,wild,Sumatran,Suaq,Ad,F,13,0.154
67,TIA,3,NA,3,wild,Sumatran,Suaq,Ad,F,22,0.136
68,TOR,9,9,3,wild,Sumatran,Suaq,Dp,M,92,0.109
69,UNF,1,NA,1,wild,Sumatran,Suaq,Ad,M,6,0.167
70,YUL,2,NA,1,wild,Sumatran,Suaq,Im,F,8,0.25
